country,description,name,price,province,region,variety,winery
Italy,"Elegance, complexity and structure come together in this drop-dead gorgeous winethat ranks among Italy's greatest whites. It opens with sublime yellow spring flower, aromatic herb and orchard fruit scents. The creamy, delicious palate seamlessly combines juicy white peach, ripe pear and citrus flavors while white almond and savory mineral notes grace the lingering finish.",Ronco della Chiesa,80,Northeastern Italy,Collio,Friulano,Borgo del Tiglio
US,"From 18-year-old vines, this supple well-balanced effort blends flavors of mocha, cherry, vanilla and breakfast tea. Superbly integrated and delicious even at this early stage, this wine seems destined for a long and savory cellar life. Drink now through 2028.",Estate Vineyard Wadensvil Block,48,Oregon,Ribbon Ridge,Pinot Noir,Patricia Green Cellars
US,"A standout even in this terrific lineup of 2015 releases from Patricia Green, the Weber opens with a burst of cola and tobacco scents and accents. It continues, subtle and detailed, with flavors of oranges, vanilla, tea and milk chocolate discreetly threaded through ripe blackberry fruit.",Weber Vineyard,48,Oregon,Dundee Hills,Pinot Noir,Patricia Green Cellars
France,This wine is in peak condition. The tannins and the secondary flavors dominate this ripe leather-textured wine. The fruit is all there as well: dried berries and hints of black-plum skins. It is a major wine right at the point of drinking with both the mature flavors and the fruit in the right balance.,ChÌ¢teau Montus Prestige,90,Southwest France,Madiran,Tannat,Vignobles Brumont
US,"With its sophisticated mix of mineral, acid and tart fruits, this seductive effort pleases from start to finish. Supple and dense, it's got strawberry, blueberry, plum and black cherry, a touch of chocolate, and that underlying streak of mineral. All these elements are in good proportion and finish with an appealing silky texture. It's delicious already, but give it another decade for full enjoyment. Drink now through 2028.",Grace Vineyard,185,Oregon,Dundee Hills,Pinot Noir,Domaine Serene
US,"First made in 2006, this succulent luscious Chardonnay is all about minerality. It's got a rich core of butterscotch and the seemingly endless layers of subtle flavors that biodynamic farming can bring. It spends 18 months on the lees prior to bottling. Drink now through 2028.",Sigrid,90,Oregon,Willamette Valley,Chardonnay,BergstrÌ¦m
US,"This blockbuster, powerhouse of a wine suggests blueberry pie and chocolate as it opens in the glass. On the palate, it's smooth and seductively silky, offering complex cedar, peppercorn and peppery oak seasonings amidst its dense richness. It finishes with finesse and spice.",Rainin Vineyard,325,California,Diamond Mountain District,Cabernet Sauvignon,Hall
Spain,"Nicely oaked blackberry, licorice, vanilla and charred aromas are smooth and sultry. This is an outstanding wine from an excellent year. Forward barrel-spice and mocha flavors adorn core blackberry and raspberry fruit, while this runs long and tastes vaguely chocolaty on the velvety finish. Enjoy this top-notch Tempranillo through 2030.",6 AÌ±os Reserva Premium,80,Northern Spain,Ribera del Duero,Tempranillo,Valduero
France,"Coming from a seven-acre vineyard named after the dovecote on the property, this is a magnificent wine. Powered by both fruit tannins and the 28 months of new wood aging, it is darkly rich and with great concentration. As a sign of its pedigree, there is also elegance here, a restraint which is new to this wine. That makes it a wine for long-term aging. Drink from 2022.",Le Pigeonnier,290,Southwest France,Cahors,Malbec,ChÌ¢teau LagrÌ©zette
US,"This fresh and lively medium-bodied wine is beautifully crafted, with cherry blossom aromas and tangy acidity. Layered and seductive, it offers a crisp mix of orange peel, cherry, pomegranate and baking spice flavors that are ready for the table or the cellar.",Gap's Crown Vineyard,75,California,Sonoma Coast,Pinot Noir,Gary Farrell
US,"Heitz has made this stellar rosÌ© from the rare Grignolino grape since 1961. Ruby grapefruit-red, it's sultry with strawberry, watermelon, orange zest and salty spice flavor, highlighted with vibrant floral aromas.",Grignolino,24,California,Napa Valley,RosÌ©,Heitz
Spain,"Alluring, complex and powerful aromas of grilled meat, berries, tea, smoke, vanilla and spice cover every base. An intense palate is concentrated but still elegant. Blackberry, molasses and mocha flavors finish with chocolaty oak notes, fine tannins and overall cohesion. Drink this special Rioja from 2020 through 2035.",Prado Enea Gran Reserva,79,Northern Spain,Rioja,Tempranillo Blend,Muga
Spain,"Tarry blackberry and cheesy oak aromas are appropriate for a wine of this size and magnitude. In the mouth, this Tinta de Toro is expansive and grabby, with bullish tannins. Slightly salty earthy accents come with core blackberry flavors and notes of baking spices and chocolate, while on the finish this is long, chocolaty, delicious and not too hard or tannic. Drink through 2023.",Termanthia,220,Northern Spain,Toro,Tinta de Toro,Numanthia
US,"The apogee of this ambitious winery's white wine efforts, this bottling of just two barrels of Clone 5 shows focused marzipan, marcona almond and white peach notes on the nose. The palate sizzles with saltiness and a lemony acidity that cuts through its brown butter richness with finesse. The finish is luxurious and long.",Giallo Solare,60,California,Edna Valley,Chardonnay,Center of Effort
US,"San Jose-based producer Adam Comartin heads 1,100 feet up into the mountains to source fruit for this tremendous wine, which offers wild cherry, sage, and eucalyptus scents on the nose. Ripe black plum and strawberry fruit lead the palate, followed by acid-driven waves of juniper, pine and bay leaf, finishing with a menthol-like sensation.",R-Bar-R Ranch,45,California,Santa Cruz Mountains,Pinot Noir,Comartin
US,"BergstrÌ¦m has made a Shea designate since 2003, intent on showcasing a ‰ÛÏpretty‰Û style of the vineyard. Here are lovely aromatics, with grape jelly, rose petals and plum in the nose, and a complex run of red fruits in the mouth. Streaks of cola, brown sugar and more come up in a generous finish.",Shea Vineyard,62,Oregon,Willamette Valley,Pinot Noir,BergstrÌ¦m
US,"Focused and dense, this intense wine captures the essence of ripe raspberries. Aged in 50% new French oak, it's got a strong vein of coffee and mocha. The flavors broaden out and penetrate, finishing with highlights of cedar, cinnamon and dark chocolate. Drink now through the 2020s, but decant if you want the full expression.",Abetina,105,Oregon,Willamette Valley,Pinot Noir,Ponzi
US,"Cranberry, baked rhubarb, anise and crushed slate aromas show on the nose of this always-excellent bottling from the Franscioni family. The palate abounds with energy, driving black raspberry fruit accented with earthy loam, fennel, oregano and juniper through a compellingly round midpalate.",Garys' Vineyard,60,California,Santa Lucia Highlands,Pinot Noir,Roar
US,"This standout Rocks District wine brings earth shaking aromas of black-olive brine, tapenade, green olive, stargazer lilies, orange peel and crushed gravel. The smoked meat, charcuterie and blue-fruit flavors don't hold back, bringing a lovely sense of texture and detail. It's an intense wine that completely demands your attention.",The Funk Estate,60,Washington,Walla Walla Valley (WA),Syrah,Saviah
US,"Steely and perfumed, this wine sees only 20% new French oak, remaining vibrantly fresh. Baked apple and lemon pith veer into grapefruit on the palate, with spiciness to the finish that's both brash and loud.",Babushka,37,California,Russian River Valley,Chardonnay,Zepaltas
France,"Pale in color, this is nutty in character, with a warm and rounded hint of red fruits. The wine has a soft, while still fresh, aftertaste. It is aged in cellars in Saumur on the Loire river.",Nonpareil TrÌ©sor RosÌ© Brut,22,France Other,Vin Mousseux,Sparkling Blend,Bouvet-Ladubay
US,"The aromas entice with notes of wet stone, honeysuckle, chamomile and stone fruit. The palate is generous in flavor and feel, showing a fine sense of balance.",Conner Lee Vineyard,42,Washington,Columbia Valley (WA),Chardonnay,Buty
Italy,"Forest floor, tilled soil, mature berry and a whiff of new leather combine on this. The ripe palate offers fleshy black cherry, dried aromatic herb and tobacco, while fine-grained tannins give the finish some grip. Drink 2018‰ÛÒ2023.",Riserva,135,Tuscany,Brunello di Montalcino,Sangiovese,Carillon
Italy,"This bright, savory wine delivers aromas and flavors of juicy wild cherry, black raspberry, violet, white pepper and mocha. Polished tannins provide the framework. Enjoy through 2020.",Riserva,29,Tuscany,Chianti Classico,Red Blend,Castello di Monterinaldi
Spain,"Earthy plum and cherry aromas score points for being clear and direct. The palate on this varietal MencÌ?a is round, smooth and just right. Lightly briny, earthy plum and cherry flavors hold steady on the finish, with a dash of saltiness.",Amandi,17,Galicia,Ribeira Sacra,MencÌ?a,Don Bernardino
Spain,"This comes across wide and expansive as it lazily exudes oily aromas of hazelnut and toffee. A plump palate is not overly cutting or demanding, while flavors of lightly salted nuts and buttered toast end with toffee and peanut flavors.",Alfonso Oloroso Seco,26,Andalucia,Jerez,Palomino,GonzÌÁlez Byass
Italy,"Aromas of dark-skinned berry, rose and wild herb lead the nose. The round, juicy palate doles out ripe black cherry, fleshy raspberry, white pepper and clove while polished tannins provide a smooth, velvety framework. Enjoy through 2019.",Riserva,39,Tuscany,Chianti Classico,Red Blend,Rignana
France,"Dark in color and in flavor profile, this medium-bodied Cornas boasts aromas and flavors reminiscent of chocolate fudge, espresso and plummy fruit, all framed by soft, dusty tannins. Drink now‰ÛÒ2025.",Coteaux,69,RhÌ«ne Valley,Cornas,Syrah,Tardieu-Laurent
Italy,"A blend of 90% Sangiovese and 10% Canaiolo, this opens with aromas of violet, mature plum, espresso and a whiff of forest floor. The firm palate offers dried black cherry, ground pepper, toast and clove while packed, fine-grained tannins provide support. Drink through 2020.",Vigneto Odoardo Beccari Riserva,30,Tuscany,Chianti Classico,Red Blend,Vignavecchia
Italy,"Sunbaked earth, ripe berry, baking spice and a whiff of menthol meld in the glass. The juicy palate offers red cherry, pomegranate, star anise, mocha and a hint of tobacco alongside fine-grained tannins.",Poggio alle Mura,90,Tuscany,Brunello di Montalcino,Sangiovese,Banfi
US,"Blended with 9% Malbec, 9% Cabernet Franc and 5% Petit Verdot, this is a perennial classic for the winery, the sister brand of Cuvaison. Juicy in cherry and cassis, it sustains big, pillowy tannins and tar, suggesting more time for the fruit to match up with the structure. Drink through 2020.",Estate Grown,60,California,Mount Veeder,Cabernet Sauvignon,Brandlin
Italy,"This robust red opens with aromas of espresso, plum cake, toast and dark spice. The hearty palate offers blackberry jam, licorice, vanilla and mocha alongside firm fine-grained tannins. A coffee note closes the finish.",Riserva,100,Tuscany,Brunello di Montalcino,Sangiovese,Capanne Ricci
France,"This ripe, full-bodied wine has ripe green fruits that are lifted by lime and made richer by apricot. Still young, with a concentrated structure, it's going to develop into a full, beautifully fruity wine. The name of the wine means the size of a parcel that demands the work of seven men for a day. Drink from 2017.",Les 7 Hommes,42,Loire Valley,Sancerre,Sauvignon Blanc,Cherrier FrÌ¬res
France,"With its light color and cool feel, this well-balanced wine comes from a parcel of 30-year-old vines. The smoky tannins and intense acidity give a wine that will develop well and slowly. It's still young with its red-berry fruits and fresh aftertaste. Drink from 2018.",L'InÌ©dit,28,Loire Valley,Coteaux du Giennois,Pinot Noir,Clement et Florian Berthier
US,"A blend of Cabernet from Grand Ciel (31%), Ciel du Cheval (30%), Upchurch (28%) and Klipsun (11%) vineyards, wood spice aromas start out up front. The cherry flavors are light and elegant, with the tannins bringing some grip.",Four Flags,69,Washington,Red Mountain,Cabernet Sauvignon,DeLille
US,"While exuberantly fruity, almost tropical on the nose, there's a crystalline edge to this dry Riesling that renders it especially refreshing. It's vibrant and light footed, brightened by a lingering honey note on the finish.",Reserve,25,New York,Finger Lakes,Riesling,Dr. Konstantin Frank
US,"Cabernet makes up just over half of this blend. Aromas of black cherries, herbs and minerals are followed by plush-feeling dark-fruit flavors and backed by firm tannins. Drink now.",Final Final,30,Washington,Columbia Valley (WA),Cabernet Sauvignon-Syrah,Efeste
Italy,"This savory blend of 40% Merlot, 30% Cabernet Sauvignon, 25% Cabernet Franc and 5% Syrah opens with aromas of roasted coffee bean, leather, tobacco and dark woodland berry. The chewy palate offers juicy plum, cassis and clove alongside polished tannins. Drink through 2019.",Poggio Bestiale,60,Tuscany,Maremma Toscana,Red Blend,Fattoria di Magliano
Argentina,"Concentrated, ripe blackberry and cassis aromas come with peppery spice and cedary oak notes. This is big and generous on the palate, with roasted, well-oaked blackberry flavors. A touch of heat lends sizzle to the finish. Drink through 2020.",The Apple Doesn't Fall Far From The Tree,30,Mendoza Province,Mendoza,Malbec,Matias Riccitelli
Argentina,"Smoky aromas of fresh-cut wood blend with berry and cassis form a welcoming, generous bouquet. This feels lively on the palate, albeit tartaric. Oaky plum, cassis and vanilla flavors finish full and agreeable. Drink through 2019.",AlegorÌ?a Gran Reserva,25,Mendoza Province,Mendoza,Malbec,Navarro Correas
France,"L'Homme Mort is a northern extension of the Fourchaume Premier Cru vineyard, so called because this was where a local lord dispensed justice by death. It often produces cooler wines such as this. It is tight, with toasted bread hints and with a strongly tangy character. It does need to develop and shouldn't be drunk before 2018.",L'Homme Mort Premier Cru,45,Burgundy,Chablis,Chardonnay,Domaine CheneviÌ¬res
US,"Fresh boysenberries and a blueberry sorbet character mix with notes of minty tarragon, dill and hot gravel on the nose of this wine, from an area between Gilroy and Morgan Hill. Peppercorns are prominent on the relatively light palate, along with tobacco, espresso and boysenberry.",Estate Select,36,California,Santa Clara Valley,Syrah,Jason-Stephens
France,"The steely character of a young Chablis is very apparent in this wine. It is crisp, lemon flavored and with a mineral edge. The wine has a juicy freshness, still young at heart and needing to age. Drink from 2018.",Fourchaume Premier Cru,38,Burgundy,Chablis,Chardonnay,Louis Max
US,"From the producer's monumental Atlas Peak vineyard, this is a tightly wound, solidly constructed mountain Cab, blended with a handful of Petit Verdot. Tobacco, black tea and a sliver of coconut intermingle around a medium-bodied whole that will benefit from cellaring, through 2021.",Animo,85,California,Napa Valley,Cabernet Sauvignon,Michael Mondavi Family Estate
US,"Big, bold, dark and chewy, this builds upon substantial black-cherry fruit and supporting acids. Still knitting together, it shows highlights of cedar and tobacco, along with thick tannins. Give this a couple more years of bottle age, and drink after 2018.",Schindler Vineyard,50,Oregon,Eola-Amity Hills,Pinot Noir,Panther Creek
US,"A juiciness of cherry and vanilla spark the opening of this wine, a celebration of the vintage, appellation and in this case, fruit-forwardness of the variety. With a backbone of oak and cedar, it has smooth tannins and medium weight, finishing in mocha chocolate. Drink now through 2022.",Barrel Select,60,California,Rutherford,Cabernet Sauvignon,Provenance Vineyards
US,"Sweetened tannins highlight a depth of chocolate and blackberry in this 100% varietal wine made in small amounts. Soft and juicy, it crafts a balance of richness and density around elegant spicy clove and cinnamon.",District Collection,85,California,St. Helena,Cabernet Sauvignon,Raymond
US,"An elegant blend from different estate vineyards, this widely available cuvÌ©e brings sturdy tannins and red currant fruit, highlighted with pretty baking spices. It would be an ideal match for roast duck with an orange sauce.",Premier CuvÌ©e,54,Oregon,Willamette Valley,Pinot Noir,Archery Summit
France,"This wine is bone-dry, although with some age the shock of the acidity has been rounded out by a hint of toast. It's linear, fresh and intensely crisp, with citrus and almond tones. Drink this wine from a good vintage now.",Le Nombre d'Or Brut Nature,85,Champagne,Champagne,Chardonnay,Aubry
US,"Given four months in concrete egg, this is an exotically crisp and textured white, lean and high in acidity with plenty of mouthcoating body to find its balance. Lemon, grapefruit and tangerine are the highlights, finished in refreshing layers of white peach.",Juliana Vineyard,38,California,Napa Valley,Sauvignon Blanc,B Cellars
Italy,"Underbrush, smoke, mocha and dark fruit aromas lead the nose and carry over to the ripe palate along with dried black cherry, licorice and clove. Firm, velvety tannins provide the framework. Drink 2018‰ÛÒ2028.",Boscato,75,Piedmont,Barolo,Nebbiolo,Bel Colle
US,"Generous black-cherry fruit anchors this barrel-aged wine that remains tartly acidic, with pretty accents of toast and mocha. Focused, young and fresh, it should drink optimally 2018‰ÛÒ2028.",Aeolian,42,Oregon,Eola-Amity Hills,Pinot Noir,Bethel Heights
Italy,"This hearty red opens with aromas of leafy underbrush, leather, licorice and a hint of menthol. The firm, chewy palate offers ripe wild cherry, raspberry jam, anisette and tobacco. Brooding tannins support the dark flavors. Drink 2019‰ÛÒ2029.",del Comune di Serralunga d'Alba,59,Piedmont,Barolo,Nebbiolo,Cascina Cucco
Italy,"Enticing aromas of woodland berry, crushed rose, mint and menthol lead the nose on thisfull-bodied red. Mint carries over to the palate along with wild cherry, red raspberry, kitchen spice and a hint of toast. Assertive tannins and bright acidity hold it all together.",Bricco Luciani,85,Piedmont,Barolo,Nebbiolo,Cascina del Monastero
Italy,"Aromas of French oak, coconut, vanilla and spiced plum lead the nose on this powerfully structured wine. The oak sensations carry over to the warm palate along with cherry marinated in spirits, licorice and menthol. Bracing, close-grained tannins provide the framework and need time to unwind. Best after 2020.",Bricco Gattera,80,Piedmont,Barolo,Nebbiolo,Cordero di Montezemolo
France,"This delicious, refreshing wine is textured, tight and mineral, with fruity acidity. Tangy and crisp, it has a tight structure, touches of toast along with apple and citrus flavors. The wine is still young and very tight, so should not be drunk before 2017.",Montmains Premier Cru,45,Burgundy,Chablis,Chardonnay,Domaine GÌ©rard Duplessis
US,"The first Pinot Noir release from this producer, this is a velvety-smooth, exotic and charming wine, light on the palate despite a concentration of ripe, rich fruit. Kirsch, cherry, raspberry and cinnamon combine to make the wine invitingly lush and plush.",Bacigalupi Vineyard,65,California,Russian River Valley,Pinot Noir,Eleven Eleven
US,"A red Meritage driven by 73% Cabernet Sauvignon, this structured, full-bodied wine also blends in 19% Merlot, 3% Petit Verdot and 3% Malbec. Blackberry and chocolate accent chalky tannins, with bold hits of black licorice, cassis, pencil and black tea. Drink now through 2020.",Magnificat,50,California,Napa Valley,Meritage,Franciscan
Italy,"Aromas of white spring flower, orchard fruit and citrus spill out of the glass. The fun lively palate delivers ripe yellow peach and green apple alongside a foaming mousse.",Nature,22,Veneto,Prosecco,Glera,De Stefani
US,"A smoky scent and earthy, crisp-apple flavors make this medium-bodied wine a change of pace from the average butterball Chardonnay. It has welcome acidity and a nicely smooth texture.",Small Lot Blend,13,California,Mendocino County,Chardonnay,Parducci
France,"This is a smooth, soft wine that is full of black fruits and ripe tannins. The Merlot rounds out the rougher edges of the Malbec to give a rich juicy wine that will develop quickly. It is all fruit, generous and ready to drink from 2017.",ChÌ¢teau Beauvillain-Monpezat,14,Southwest France,Cahors,Malbec-Merlot,Rigal
France,"Closer to Bordeaux than is Cahors, this is Malbec with a cooler visage. It has spice and stalky tannins along with plenty of acidity. The wine is bright with red berry fruits and a crisp lightly mineral aftertaste. Drink from 2018.",Pigmentum,15,Southwest France,Buzet,Merlot-Malbec,Georges Vigouroux
France,"This is a blend of 60% Ugni Blanc and 40% Colombard that gives a deliciously light and refreshing wine. Bright and breezy, it is perfumed, herbal and full of direct citrus flavors. Drink now.",Pigmentum,10,Southwest France,CÌ«tes de Gascogne,Ugni Blanc-Colombard,Georges Vigouroux
US,"Brambly and herbal, this wine shows bright acidity underlying a full-bodied, incoherently ripe palate of tar, toffee and rich cola notes.",Stephanie,50,California,Napa Valley,Cabernet Sauvignon,Hestan
US,"This Cabernet Sauvignon-dominant blend boasts leather, tobacco leaf and black pepper flavors, giving it muscle and a rustic edge, the tannins and fruit mellowed with age.",Bella's Blend,48,California,Knights Valley,Cabernet Sauvignon-Cabernet Franc,Ehret
US,"Fans of stickies may find pleasure in this bottling, but it is tremendously sweet and oily. Candied honeydew and kiwi scents meet with sweet juniper and pine on the nose. On the palate, it tastes squarely of golden honey. It's soft, unctuous and thick in consistency.",Tears of Dew Late Harvest,20,California,Paso Robles,Moscato,EOS
US,"Aromas of ripe (leaning almost overripe) apple, melon and orange peel are followed by medium-sweet fruit flavors. It needs more acid to stand it up.",Tudor Hills Vineyard,17,Washington,Yakima Valley,Pinot Grigio,Martinez & Martinez
US,"This is from a hillside estate vineyard and is entirely barrel fermented, its oak subtle and supportive. Medium bodied and not overripe, it offers honeysuckle aromas and lime and lemon rind flavors.",Homestead Block,45,California,Napa Valley,Chardonnay,Kuleto Estate
Argentina,"This copper-tinted rosÌ© of Pinot Noir smells like a rubber gym ball and citrus fruits. A full round bouncy palate brings it around, while dry citrus and stone-fruit flavors show a skins-like quality on a steady finish.",Terroir Ì?nico Pinot Noir,12,Mendoza Province,Tupungato,RosÌ©,Zorzal
US,"This mountain-grown wine is hugely tannic and oaky, hard to penetrate in its full-bodied ripeness. Smoky oak and currant flavors vie for attention against a backdrop of concentration and power.",Limited Release Cold Springs Vineyard,125,California,Howell Mountain,Cabernet Sauvignon,Charles Krug
US,"Savory apples and pears mingle into lemon and bramble in this slightly earthy off-dry Riesling. Sunny tangerine acidity is easy but bright, leading a delicately sweet finish.",Castle Hill Vineyard,25,New York,Hudson River Region,Riesling,Millbrook
Argentina,"Aromas of prune, raisin and black plum are full and gritty. A chunky full-bodied palate feels grabby, while this tastes of generic blackberry, burnt coffee and dark chocolate. A steady plump, rubbery finish closes the show.",Reserva,15,Mendoza Province,Valle de Uco,Malbec,ViÌ±alba
US,"Let this burly, big-boned beauty open to fully enjoy its robust oak and fistfuls of black cherry, the oak showing in terms of toasty, slightly reductive aromas. A smooth texture keeps the wine flowing along a concentrated highway of power and ripeness.",The Flyer,59,California,Russian River Valley,Pinot Noir,MacPhail
US,"This small-quantity selection from within the Charles Vineyard was fermented by native yeast, and neither fined nor filtered. It is quite aromatic, full bodied and moderately fruity, and has a nice rounded mouthfeel, generous red-cherry and spice flavors and good structure from acidity and mild tannins. Tart cherry lingers on the finish.",Charles Vineyard Clone 05,49,California,Anderson Valley,Pinot Noir,Foursight
US,"A deeper salmon color with elegantly lacy bubbles and a slight cloudy appearance, this sparkler by Norm Yost offers dessicated watermelon, dried orange blossoms, yeast, citrus rinds and fresher strawberry notes on the nose. Tart raspberry and yeasty melon show on the palate, which offers a salty component as well as a surprising but nice amount of grip.",Solomon Hills Vineyard RosÌ©,42,California,Santa Maria Valley,Sparkling Blend,Goat Bubbles
US,"This wine takes time to unravel and reveal itself, rewarding the patient with a wealth of high-toned citrus and elegantly wound, medium-bodied honeyed pear and caramel. Lengthy and complex, it's one to consider aging and allowing to further mellow over time. Drink now through 2021.",Paris Tasting Commemorative,93,California,Napa Valley,Chardonnay,Grgich Hills
US,"This wine is tasty, tangy and nervy, bringing a very refreshing and appetizing mouthfeel, and wonderful fresh acidity. All of that tang shows good fruitiness too, as the red-cherry and cranberry flavors are vivid and concentrated. It's a versatile wine to drink now or buy by the case to save some bottles for more aging.",Methode a l'Ancienne,32,California,Anderson Valley,Pinot Noir,Navarro
US,"Renwood's tiny two-barrel production of its most expensive Zinfandel has aromas like vanilla and coconut and flavors as rich as milk chocolate and strawberry jam. This full-bodied wine is practically a liquid dessert, though it's not overly sweet. It's full-bodied, smooth and broad in texture.",Grand Wren,100,California,Amador County,Zinfandel,Renwood
US,"This is a thick, chocolatey wine with a side of leather and black pepper that appeals on multiple levels. Full-bodied concentration gives way to a smooth, rounded palate robust in blackberry and vanilla.",Central Park West Vineyard,50,California,St. Helena,Cabernet Sauvignon,Trinchero
Spain,"Aromas of strawberry, currant and spice are good in a subtle, non-pushy way. Fresh and grabby on the palate, this tastes of red fruits, baking spices and cocoa. Drying tannins along with cassis and chocolate flavors push a healthy finish. Drink through 2020.",Arnegui Reserva,22,Northern Spain,Rioja,Tempranillo,Pagos del Rey
Italy,"Scents of Spanish broom, pineapple, orchard fruit and a saline note meld together in the glass. The focused palate offers mature apple, peach, botanical herb and mineral alongside firm acidity.",Chianta Bianco,45,Sicily & Sardinia,Etna,White Blend,Biondi
US,"Meaty, smoky aromas and good, high-amplitude fruit flavors give a robust personality to this full-bodied, dry and firmly tannic wine. It will make a good pairing with pasta, roasted birds or grilled meat.",Cooper Ranch,26,California,Amador County,Barbera,Andis
US,"While Cabernet Sauvignon dominant, all five red Bordeaux varieties are represented here. Dark in color, a combination of black pepper and black-fruit syrup meets earthy and dry tannins. This structured wine needs time. Cellar through 2020.",Longwood,30,California,Napa Valley,Cabernet Sauvignon,Beaucanon
US,"Quite dark in color, brooding aromas of olallieberry, blackberry, grape soda, plums and concentrated purple flowers appease the nose on this bottling from one of Paso's newly designated appellations. The palate blends licorice, turned earth and eucalyptus with a fresh pomegranate juice flavor.",Estate,42,California,Adelaida District,Grenache,Brecon Estate
US,"A nose of sour cherry and cranberry meshes with sandalwood and savory herbs on this single-site study by the longtime Paso producer. The palate is overflowing with oregano and other dried garden herbs, laid against a juicy red and purple-fruit frame.",Mustang Springs,38,California,Adelaida District,Zinfandel,Peachy Canyon
US,"Heavy fruit concentration meets thick, velvety tannins in this full-bodied, deeply colored and extremely flavorful wine. It's big enough to pair with big proteins, and concentrated enough to keep improving in the cellar. Best after 2019.",SMC,48,California,California,RhÌ«ne-style Red Blend,Three
Spain,"Cherry, plum, vanilla and mild oak aromas feed into a medium-bodied, elegant palate with plum and cherry flavors supported by a touch of toasty oak and vanilla. Notes of cafÌ© mocha and toast grace a crisp finish that isn't trying too hard.",Crianza,17,Northern Spain,Rioja,Tempranillo,Valdelacierva
France,"Attractive fruity tones of red currant, raspberry and strawberry hull dance in the bouquet of this pretty rosÌ©, graced by garrigue accents of lavender and rosemary. Flavors of red berry skin and peach pit unfold on the medium-weight palate, framed by soft tannins and a delicate spice note that lingers on the close.",Le,18,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,RosÌ©,ChÌ¢teau de Lancyre
